Time,S_H1,S_H2,S_H3,S_H4,S_A,E_H1,E_H2,E_H3,E_H4,E_A,I1_H1,I1_H2,I1_H3,I1_H4,I1_A,I2_H1,I2_H2,I2_H3,I2_H4,I2_A,R_H1,R_H2,R_H3,R_H4,R_A,P_V,S_V,G_V,E1_V,E2_V,E3_V,I_V
2017,113092.709365764,0,0,13864.5487104647,0,2.11755421258464,0,0,1.65298709855011,0,60.0211788433096,0,0,74.9518113077212,0,19.7259543148628,0,0,35.0610577983089,0,22.0945385324563,0,0,32.5596386636892,0,137387.178447543,10520.8064146605,116685.406793673,0.932163420040961,0.722372409700708,0.559451717900222,1.92321851058546
2017,113092.709365764,0,0,13864.5487104647,0,2.11755421258464,0,0,1.65298709855011,0,60.0211788433096,0,0,74.9518113077212,0,19.7259543148628,0,0,35.0610577983089,0,22.0945385324563,0,0,32.5596386636892,0,137387.178447543,10520.8064146605,116685.406793673,0.932163420040961,0.722372409700708,0.559451717900222,1.92321851058546
2017.00273972603,113090.709365764,0,0,13862.5487104647,0,4.11755421258464,0,0,3.65298709855011,0,60.0211788433096,0,0,74.9518113077212,0,19.7259543148628,0,0,35.0610577983089,0,22.0945385324563,0,0,32.5596386636892,0,137387.178447543,10518.5071528656,116686.483951573,2.12404279289259,0.763962755848155,0.560272939915024,1.92264188270335
2017.00547945205,113089.709365764,0,0,13861.5487104647,0,5.11755421258464,0,0,3.65298709855011,0,60.0211788433096,0,0,75.9518113077212,0,19.7259543148628,0,0,35.0610577983089,0,22.0945385324563,0,0,32.5596386636892,0,137387.179017618,10516.9077108434,116686.886601647,3.17262495798521,0.910966091692377,0.570369105431994,1.92254466770936
2017.00821917808,113089.709365764,0,0,13859.5487104647,0,6.11755421258464,0,0,5.65298709855011,0,59.0211788433096,0,0,75.9518113077212,0,20.7259543148628,0,0,35.0610577983089,0,21.0945385324563,0,0,32.5596386636892,0,137387.179988102,10515.7950997657,116686.837922855,4.08611217482224,1.13652519527711,0.597315739551417,1.92425978353659
2017.01095890411,113086.709365764,0,0,13859.5487104647,0,10.1175542125846,0,0,5.65298709855011,0,58.0211788433096,0,0,75.9518113077212,0,20.7259543148628,0,0,35.0610577983089,0,21.0945385324563,0,0,32.5596386636892,0,137387.181220426,10515.0211533855,116686.486731458,4.88055993955522,1.41822754341934,0.645400193250165,1.92966862304202
2017.01369863014,113086.709365764,0,0,13854.5487104647,0,9.11755421258464,0,0,10.6529870985501,0,59.0211788433096,0,0,75.9518113077212,0,20.7259543148628,0,0,34.0610577983089,0,21.0945385324563,0,0,33.5596386636892,0,137387.182606304,10514.4827990874,116685.942537821,5.56421643253411,1.73775937991222,0.716450161217576,1.94089695201433
2017.01643835616,113085.709365764,0,0,13853.5487104647,0,10.1175542125846,0,0,9.65298709855011,0,58.0211788433096,0,0,77.9518113077212,0,21.7259543148628,0,0,34.0610577983089,0,21.0945385324563,0,0,33.5596386636892,0,137387.184059383,10514.1083336073,116685.244592629,6.18191350252004,2.0811919007455,0.810502729952279,1.96009632756953
2017.01917808219,113083.709365764,0,0,13853.5487104647,0,11.1175542125846,0,0,8.65298709855011,0,59.0211788433096,0,0,78.9518113077212,0,21.7259543148628,0,0,34.0610577983089,0,21.0945385324563,0,0,33.5596386636892,0,137387.185529435,10513.8478760173,116684.451713636,6.7332490884146,2.43910818192573,0.926526849040608,1.98929775305396
2017.02191780822,113081.709365764,0,0,13853.5487104647,0,12.1175542125846,0,0,6.65298709855011,0,60.0211788433096,0,0,80.9518113077212,0,21.7259543148628,0,0,34.0610577983089,0,21.0945385324563,0,0,33.5596386636892,0,137387.186974773,10513.6667262881,116683.587062526,7.23753589116159,2.8039271461636,1.06279267390544,2.03033158842259
2017.02465753425,113081.709365764,0,0,13852.5487104647,0,11.1175542125846,0,0,7.65298709855011,0,60.0211788433096,0,0,80.9518113077212,0,22.7259543148628,0,0,34.0610577983089,0,21.0945385324563,0,0,33.5596386636892,0,137387.188370424,10513.54074507,116682.696484362,7.6795051931937,3.16967986850671,1.21717245463367,2.08477711506099
2017.02739726027,113081.709365764,0,0,13851.5487104647,0,12.1175542125846,0,0,8.65298709855011,0,60.0211788433096,0,0,79.9518113077212,0,22.7259543148628,0,0,34.0610577983089,0,20.0945385324563,0,0,34.5596386636892,0,137387.18968884,10513.4531395497,116681.808591415,8.05484925201274,3.53005012572784,1.3872036954213,2.15393654577659
2017.0301369863,113080.709365764,0,0,13852.5487104647,0,13.1175542125846,0,0,8.65298709855011,0,60.0211788433096,0,0,79.9518113077212,0,22.7259543148628,0,0,32.0610577983089,0,20.0945385324563,0,0,35.5596386636892,0,137387.190905713,10513.3922274421,116680.944813973,8.36147404059593,3.87917461828145,1.57014546053057,2.23881146815939
2017.03287671233,113079.709365764,0,0,13849.5487104647,0,13.1175542125846,0,0,10.6529870985501,0,61.0211788433096,0,0,80.9518113077212,0,22.7259543148628,0,0,32.0610577983089,0,20.0945385324563,0,0,35.5596386636892,0,137387.192000593,10513.3498816114,116680.077149339,8.64196042211836,4.21329176874252,1.7630992244663,2.34008998302145
2017.03561643836,113078.709365764,0,0,13849.5487104647,0,13.1175542125846,0,0,9.65298709855011,0,62.0211788433096,0,0,81.9518113077212,0,22.7259543148628,0,0,32.0610577983089,0,20.0945385324563,0,0,35.5596386636892,0,137387.19297767,10513.3204483611,116679.21081292,8.89963820865905,4.53186661624955,1.96336307419282,2.45815451661606
