Year,ActiveM1,ActiveM2,PassiveM1,PassiveM2,DeathsM,PersonYrsM1,PersonYrsM2,NewInfM,NoInfHost,PerfectSpec
1998,1454.42866413183,907.738637832389,58.9162194924192,372.604318266692,1041.86883273188,2106.75384156891,1198.88475556585,2007.30176293613,0,0
1999,897.777413643262,391.923191110945,47.7420808610872,275.312751063285,769.243852109536,1704.14245639665,885.173544532173,1740.88145643481,0,0
2000,721.854826268998,259.850860120204,41.8184546579034,234.128922876023,652.701804056002,1484.78837822513,751.067906274961,1552.78935981658,0,0
2001,759.924747213215,255.207153609327,35.3572574144639,193.335365023584,535.390106436756,1235.86407292993,616.076627616125,1379.811543162,0,0
2002,604.439791884203,179.132134654064,33.4284848933267,176.341825987546,478.941961873433,1117.29587742176,551.121406890792,1243.81723937804,0,0
2003,386.067898413894,112.605533304376,37.8076925223435,185.667049384622,478.099646537598,1123.6307316892,550.152149548806,1151.31980890094,0,0
2004,483.554509064654,158.558940888894,42.9619476488859,184.051085384054,417.733388033439,991.849634078403,480.688331458176,1043.68941323976,0,0
2005,413.029776100274,128.62478385542,56.4208035159168,198.300445791219,361.46308077181,891.34454352931,415.937749189501,931.33262353227,0,0
2006,451.012061639814,133.956386685169,65.7026197187495,193.112275708357,277.872772062981,726.978691092906,319.749876325233,795.425514752866,0,0
2007,326.892283203311,83.1119050731574,70.5084219416508,184.825526173204,227.952290591648,630.608929303673,262.306076927222,667.91770252709,0,0
2008,312.89352771339,76.6660203128159,62.7894041425064,155.078657848805,178.365002599007,511.90252092857,205.245685276626,549.452084465433,0,0
2009,293.502143650593,65.6114944733002,51.0485404851586,122.083673096833,136.78244962472,402.173775504001,157.396390536075,446.976005862725,0,0
2010,127.061151881518,24.830693917966,24.1701630879631,57.7950565919291,64.1657285720312,188.176229212643,73.8358912350547,196.664031677002,0,0
2011,282.136817468751,52.1706967970282,58.2409343724065,137.998779716748,152.738087673867,451.62225780712,175.756639563095,482.529132253598,0,0
