Year,ActiveM1,ActiveM2,PassiveM1,PassiveM2,DeathsM,PersonYrsM1,PersonYrsM2,NewInfM,NoInfHost,PerfectSpec
2012,151.048381011221,27.3017558842481,31.7120903060776,74.8379137971748,82.7455041174216,245.578010496803,95.2157511208683,255.904553771917,0,0
2013,108.530385228277,19.3896132624166,28.4382325622634,67.6590045570937,74.7821860006643,220.126641917519,86.0523128895236,217.338532212118,0,0
2014,93.4323661978689,17.1420848473094,24.9968142314484,60.0810306855796,66.3987323892758,193.459342118995,76.4054222081574,185.560926007437,0,0
2015,119.171675541432,21.5125263352273,19.8760622111857,47.5194933052853,52.5142881026257,153.820320359177,60.428508347397,155.347927911203,0,0
2016,92.8525223852682,14.1040702048265,17.0537770002742,40.6552584284645,44.9279728553856,131.976531232533,51.6988895939646,131.379897161112,0,0
2017,82.7180188762383,11.6821214500315,14.6659348207239,35.0541613401418,38.7380553865698,113.496760657497,44.5761141941905,111.685225325109,0,0
2018,75.6285643764972,9.93393078637669,12.5886224196055,30.1646524838765,33.3346530413628,97.4206713270464,38.3583864953291,95.1203495456682,0,0
2019,69.4223934661291,8.38798125329104,10.8147664445833,25.9670993910705,28.6959657732501,83.6931254385109,33.0206210522496,81.1623593032872,0,0
2020,64.0644716846916,7.07342984833831,9.30498047231996,22.3845332953479,24.7369060842677,72.0092052891038,28.4649071673734,69.3821046861655,0,0
2021,NaN,0,4791,3368,3640,31847.7290880987,3483.35898894619,130042,0,0
2022,NaN,0,10478,20952,23175,73163.7373072772,24111.6658382612,39992,0,0
2023,NaN,0,8797,22541,25191,62630.435937414,26303.2329615488,56397,0,0
2024,NaN,0,8943,22286,24775,62458.9016908386,25760.049399905,58172,0,0
2025,NaN,0,9013,22529,24781,62569.7811428934,25677.0357012749,57720,0,0
2026,NaN,0,8725,22270,24430,62388.4112798797,25908.5069341516,58034,0,0
2027,NaN,0,8708,22385,24666,62610.8112798797,25931.9836464803,57387,0,0
2028,NaN,0,8811,22405,24454,62365.5811428934,25803.4028245625,57721,0,0
2029,NaN,0,8671,22244,24451,62606.0578552222,25655.1096738776,57514,0,0
2030,NaN,0,8714,22339,24620,62549.6989511126,25895.5398108639,57640,0,0
2031,NaN,0,8906,22195,24636,62460.8688141263,25951.3261122338,57625,0,0
2032,NaN,0,8805,22366,24583,62582.6825127564,25724.4083040146,57861,0,0
2033,NaN,0,8711,22227,24741,62752.7236086469,25702.6987149735,57707,0,0
2034,NaN,0,8894,22388,24358,62672.4551154962,25875.6439204529,57388,0,0
2035,NaN,0,8872,21953,24691,62409.3427867291,26025.5315916858,57441,0,0
2036,NaN,0,8749,22379,24552,62347.0112798797,25895.4000848365,57640,0,0
2037,NaN,0,8749,22323,24727,62451.9208689208,25801.649399905,57752,0,0
2038,NaN,0,8607,22348,24647,62417.1784031674,25918.4411807269,57830,0,0
2039,NaN,0,8720,22330,24693,62527.6989511126,25885.350769768,57571,0,0
2040,NaN,0,8849,22146,24668,62507.9181291948,25823.145290316,57652,0,0
2041,NaN,0,8961,22145,24647,62475.5975812496,25667.1343314118,57919,0,0
2042,NaN,0,8839,22403,24678,62535.5838826195,25767.3754273023,57709,0,0
2043,NaN,0,8865,22265,24544,62562.4660744003,25902.5809067543,57671,0,0
2044,NaN,0,8887,22209,24703,62422.4879922085,25796.1973451105,57715,0,0
2045,NaN,0,8807,22299,24756,62473.0962113866,25761.8357012749,57730,0,0
2046,NaN,0,8945,22429,24495,62417.9729237154,25972.6987149735,57735,0,0
2047,NaN,0,8781,22214,24467,62368.2030607016,25898.452139631,57652,0,0
2048,NaN,0,8631,22312,24735,62398.5153894688,25971.7617286721,57768,0,0
2049,NaN,0,8814,22314,24663,62256.2797730304,25943.4850163434,57675,0,0
2050,NaN,0,8719,22217,24740,62254.7194118583,25664.4056766476,57751,0,0
