Year,ActiveM1,ActiveM2,PassiveM1,PassiveM2,DeathsM,PersonYrsM1,PersonYrsM2,NewInfM,NoInfHost,PerfectSpec
2040,0.495486395328919,0.246218683174501,0.889818145138062,1.86651197000245,2.02366475872161,5.49266476109509,2.89958738421474,4.56597563162118,0,1
2041,0.42367032506408,0.211231476712457,0.783212432990739,1.64506574733974,1.78357365619631,4.83460958246958,2.55557529973078,4.00886703826726,0,1
2042,0.362387904653789,0.181260578560918,0.689626177667691,1.45037515698012,1.57249090243023,4.25692083837681,2.25312753153815,3.52121599983814,0,1
2043,0.310072903872168,0.155579178408255,0.607433739857907,1.27913726889691,1.38683547399414,3.74956379103738,1.98711304678507,3.09415011212859,0,1
2044,0.265395679513826,0.133567113641556,0.535217768582643,1.12846749797616,1.22347991532789,3.30378942379254,1.75305070270926,2.71996170681239,0,1
2045,0.227226767554639,0.114694972087407,0.471741672792066,0.995844950946805,1.07969108410232,2.91196451392098,1.54702434423472,2.39194980078715,0,1
2046,0.194606204010447,0.0985106132622869,0.415925881979147,0.879065153692874,0.953078898361486,2.56742509428125,1.36560936683803,2.10428523964023,0,1
2047,0.166717645912554,0.0846277291872791,0.366827337129249,0.776199186705733,0.841552031344702,2.26434985515332,1.20580923432638,1.85189374531638,0,1
2048,0.142866525465778,0.0727161296330186,0.323621770958068,0.685558297265765,0.743279544156418,1.99765076378473,1.06500050460054,1.63035472812819,0,1
2049,0.122461599198483,0.0624934862985179,0.285588324493451,0.605663173228643,0.656657572529093,1.76287810570774,0.940885097123129,1.4358155689493,0,1
2050,0.10499933622568,0.0537183093518398,0.252096248714492,0.535217306992705,0.580280448143924,1.55613839668723,0.831448914398013,1.26491619062568,0,1
