name,LowerSens,UpperSens,MeanSens,LowerSpec,UpperSpec,MeanSpec,Algs
optimisticRDT1_SD+CTC+QBC+CATT_16_Dilution ,0.42624932997686,0.769244276894246,0.582213790531077,0.999907158278023,0.99997177844759,0.999939465130941,ITM
optimisticRDT1_SD+MaECT+CATT_16_Dilution ,0.422315045661535,0.767853059358655,0.57878078243544,0.99990723656609,0.999971878067352,0.999939554083788,ITM
optimisticRDT1_SD+MaECT+MaECT_bc+CATT_16_Dilution ,0.4302096691552,0.769804628401637,0.584434051201625,0.999907158278023,0.99997177844759,0.999939465130941,ITM
optimisticRDT1_SD+MaECT+QBC+CATT_16_Dilution ,0.428290294246399,0.769830391689334,0.583563360742587,0.999907158278023,0.99997177844759,0.999939465130941,ITM
optimisticRDT1_SD+MaECT_bc+CATT_16_Dilution ,0.428466888317948,0.767526941792881,0.58255000520184,0.99990723656609,0.999971878067352,0.999939554083788,ITM
optimisticRDT1_SD+MaECT_bc+QBC+CATT_16_Dilution ,0.4302096691552,0.769804628401637,0.584434051201625,0.999907158278023,0.99997177844759,0.999939465130941,ITM
optimisticRDT1_SD+QBC+CATT_16_Dilution ,0.422315045661535,0.767853059358655,0.57878078243544,0.99990723656609,0.999971878067352,0.999939554083788,ITM
optimisticCATT_wb+CTC+CATT_4_Dilution,0.757001499836431,0.939851847007969,0.864377521402675,0.997568158940516,0.998031291080458,0.997799718676577,Checce
optimisticCATT_wb+CTC+MaECT+CATT_4_Dilution,0.758959795628967,0.93985898751363,0.864914036244018,0.997568126787645,0.998031238050421,0.997799676087214,Checce
optimisticCATT_wb+CTC+MaECT_bc+CATT_4_Dilution,0.759588841225115,0.939858894477725,0.865011711247643,0.997568126787645,0.998031238050421,0.997799676087214,Checce
optimisticCATT_wb+CTC+QBC+CATT_4_Dilution,0.758959795628967,0.93985898751363,0.864914036244018,0.997568126787645,0.998031238050421,0.997799676087214,Checce
optimisticCATT_wb+MaECT+CATT_4_Dilution,0.758224341954235,0.939857859981902,0.864715459473254,0.997568158940516,0.998031291080458,0.997799718676577,Checce
optimisticCATT_wb+MaECT+MaECT_bc+CATT_4_Dilution,0.759700119857835,0.939859441658353,0.865042463612066,0.997568126787645,0.998031238050421,0.997799676087214,Checce
optimisticCATT_wb+MaECT+QBC+CATT_4_Dilution,0.759341322369721,0.93985946253857,0.864992099938322,0.997568126787645,0.998031238050421,0.997799676087214,Checce
optimisticCATT_wb+MaECT_bc+CATT_4_Dilution,0.759374333903318,0.939857595675356,0.864933484034918,0.997568158940516,0.998031291080458,0.997799718676577,Checce
optimisticCATT_wb+MaECT_bc+QBC+CATT_4_Dilution,0.759700119857835,0.939859441658353,0.865042463612066,0.997568126787645,0.998031238050421,0.997799676087214,Checce
optimisticCATT_wb+QBC+CATT_4_Dilution,0.758224341954235,0.939857859981902,0.864715459473254,0.997568158940516,0.998031291080458,0.997799718676577,Checce
optimisticCATT_wb+CTC+CATT_8_Dilution,0.751466910629492,0.934878889968102,0.858644423363789,0.997664933550352,0.998064879404652,0.997864906477502,Checce
optimisticCATT_wb+CTC+MaECT+CATT_8_Dilution,0.757233003796401,0.93946612390748,0.863589690597035,0.997664869461861,0.998064815290468,0.997864842376165,Checce
optimisticCATT_wb+CTC+MaECT_bc+CATT_8_Dilution,0.759085193607284,0.939406355387097,0.864489999326105,0.997664869461861,0.998064815290468,0.997864842376165,Checce
optimisticCATT_wb+CTC+QBC+CATT_8_Dilution,0.757233003796401,0.93946612390748,0.863589690597035,0.997664869461861,0.998064815290468,0.997864842376165,Checce
optimisticCATT_wb+MaECT+CATT_8_Dilution,0.755067501309692,0.938741770191705,0.861759330796953,0.997664933550352,0.998064879404652,0.997864906477502,Checce
optimisticCATT_wb+MaECT+MaECT_bc+CATT_8_Dilution,0.759412847359182,0.939757877487445,0.864773455902523,0.997664869461861,0.998064815290468,0.997864842376165,Checce
optimisticCATT_wb+MaECT+QBC+CATT_8_Dilution,0.758356388088624,0.939771291445145,0.864309234214096,0.997664869461861,0.998064815290468,0.997864842376165,Checce
optimisticCATT_wb+MaECT_bc+CATT_8_Dilution,0.758453588715327,0.938571973258799,0.86376894849577,0.997664933550352,0.998064879404652,0.997864906477502,Checce
optimisticCATT_wb+MaECT_bc+QBC+CATT_8_Dilution,0.759412847359182,0.939757877487445,0.864773455902523,0.997664869461861,0.998064815290468,0.997864842376165,Checce
optimisticCATT_wb+QBC+CATT_8_Dilution,0.755067501309692,0.938741770191705,0.861759330796953,0.997664933550352,0.998064879404652,0.997864906477502,Checce
optimisticCATT_wb+CTC+CATT_16_Dilution ,0.742137174537794,0.931331308766138,0.852789989916672,0.997707725044497,0.998172230323154,0.99793997121796,Checce
optimisticCATT_wb+CTC+MaECT+CATT_16_Dilution ,0.754322126135792,0.939185864992525,0.862237316470751,0.997707646834813,0.998172130783168,0.997939882345258,Checce
optimisticCATT_wb+CTC+MaECT_bc+CATT_16_Dilution ,0.758236187622939,0.939083525497719,0.863957245882417,0.997707646834813,0.998172130783168,0.997939882345258,Checce
