,name,LowerSens,UpperSens,MeanSens,LowerSpec,UpperSpec,MeanSpec
0,optimisticCATT_wb+CTC+CATT_4_Dilution+TL_paper,0.7574327882377572,0.939852518232317,0.8644666909986816,0.9975681589405159,0.9980312910804577,0.9977997186765777
0,optimisticCATT_wb+CTC+MaECT+CATT_4_Dilution+TL_paper,0.7590943576101802,0.9398590405403531,0.8649346344206954,0.9975681267876454,0.9980312380504213,0.9977996760872144
0,optimisticCATT_wb+CTC+MaECT_bc+CATT_4_Dilution+TL_paper,0.7596280884696358,0.9398589555591409,0.8650198256808801,0.9975681267876454,0.9980312380504213,0.9977996760872144
0,optimisticCATT_wb+CTC+QBC+CATT_4_Dilution+TL_paper,0.7590943576101802,0.9398590405403531,0.8649346344206954,0.9975681267876454,0.9980312380504213,0.9977996760872144
0,optimisticCATT_wb+MaECT+CATT_4_Dilution+TL_paper,0.7584703419198908,0.9398580106260029,0.8647614375461952,0.9975681589405159,0.9980312910804577,0.9977997186765777
0,optimisticCATT_wb+MaECT+MaECT_bc+CATT_4_Dilution+TL_paper,0.75972250585471,0.9398594553669662,0.8650466476167038,0.9975681267876454,0.9980312380504213,0.9977996760872144
0,optimisticCATT_wb+MaECT+QBC+CATT_4_Dilution+TL_paper,0.7594180743590059,0.9398594744394542,0.8650027208731711,0.9975681267876454,0.9980312380504213,0.9977996760872144
0,optimisticCATT_wb+MaECT_bc+CATT_4_Dilution+TL_paper,0.7594460838933015,0.9398577692021046,0.8649515966091073,0.9975681589405159,0.9980312910804577,0.9977997186765777
0,optimisticCATT_wb+MaECT_bc+QBC+CATT_4_Dilution+TL_paper,0.75972250585471,0.9398594553669662,0.8650466476167038,0.9975681267876454,0.9980312380504213,0.9977996760872144
0,optimisticCATT_wb+QBC+CATT_4_Dilution+TL_paper,0.7584703419198908,0.9398580106260029,0.8647614375461952,0.9975681589405159,0.9980312910804577,0.9977997186765777
0,optimisticCATT_wb+CTC+CATT_8_Dilution+TL_paper,0.7527368153667298,0.9353101007612108,0.8594663344226304,0.9976649335503524,0.9980648794046518,0.997864906477502
0,optimisticCATT_wb+CTC+MaECT+CATT_8_Dilution+TL_paper,0.7576292140744196,0.9395001895601357,0.8637795520516276,0.9976648694618607,0.9980648152904683,0.9978648423761646
0,optimisticCATT_wb+CTC+MaECT_bc+CATT_8_Dilution+TL_paper,0.7592007549383724,0.9394455955692702,0.8645647932324594,0.9976648694618607,0.9980648152904683,0.9978648423761646
0,optimisticCATT_wb+CTC+QBC+CATT_8_Dilution+TL_paper,0.7576292140744196,0.9395001895601357,0.8637795520516276,0.9976648694618607,0.9980648152904683,0.9978648423761646
0,optimisticCATT_wb+MaECT+CATT_8_Dilution+TL_paper,0.7557918345419007,0.9388385476140217,0.8621831286866688,0.9976649335503524,0.9980648794046518,0.997864906477502
0,optimisticCATT_wb+MaECT+MaECT_bc+CATT_8_Dilution+TL_paper,0.759478761683313,0.939766684232876,0.8648120215104869,0.9976648694618607,0.9980648152904683,0.9978648423761646
0,optimisticCATT_wb+MaECT+QBC+CATT_8_Dilution+TL_paper,0.758582380057073,0.9397789368615077,0.8644071315266205,0.9976648694618607,0.9980648152904683,0.9978648423761646
0,optimisticCATT_wb+MaECT_bc+CATT_8_Dilution+TL_paper,0.758664852574721,0.938683451049063,0.8639358991795968,0.9976649335503524,0.9980648794046518,0.997864906477502
0,optimisticCATT_wb+MaECT_bc+QBC+CATT_8_Dilution+TL_paper,0.759478761683313,0.939766684232876,0.8648120215104869,0.9976648694618607,0.9980648152904683,0.9978648423761646
0,optimisticCATT_wb+QBC+CATT_8_Dilution+TL_paper,0.7557918345419007,0.9388385476140217,0.8621831286866688,0.9976649335503524,0.9980648794046518,0.997864906477502
0,optimisticCATT_wb+CTC+CATT_16_Dilution +TL_paper,0.744820746812712,0.9320696555486772,0.854360150194176,0.9977077250444977,0.9981722303231544,0.9979399712179604
0,optimisticCATT_wb+CTC+MaECT+CATT_16_Dilution +TL_paper,0.7551594006855661,0.9392441943883455,0.8626000234948547,0.997707646834813,0.9981721307831676,0.9979398823452584
0,optimisticCATT_wb+CTC+MaECT_bc+CATT_16_Dilution +TL_paper,0.7584803926999568,0.9391507150549296,0.86410013046767,0.997707646834813,0.9981721307831676,0.9979398823452584
0,optimisticCATT_wb+CTC+QBC+CATT_16_Dilution +TL_paper,0.7551594006855661,0.9392441943883455,0.8626000234948547,0.997707646834813,0.9981721307831676,0.9979398823452584
0,optimisticCATT_wb+MaECT+CATT_16_Dilution +TL_paper,0.7512766363904317,0.9381112886032542,0.8595502524438721,0.9977077250444977,0.9981722303231544,0.9979399712179604
0,optimisticCATT_wb+MaECT+MaECT_bc+CATT_16_Dilution +TL_paper,0.7590678786515292,0.9397005036628961,0.8645724297723923,0.997707646834813,0.9981721307831676,0.9979398823452584
0,optimisticCATT_wb+MaECT+QBC+CATT_16_Dilution +TL_paper,0.7571736382338147,0.9397214833996571,0.8637989371145345,0.997707646834813,0.9981721307831676,0.9979398823452584
0,optimisticCATT_wb+MaECT_bc+CATT_16_Dilution +TL_paper,0.7573479197805425,0.937845722315141,0.862898705508192,0.9977077250444977,0.9981722303231544,0.9979399712179604
0,optimisticCATT_wb+MaECT_bc+QBC+CATT_16_Dilution +TL_paper,0.7590678786515292,0.9397005036628961,0.8645724297723923,0.997707646834813,0.9981721307831676,0.9979398823452584
0,optimisticCATT_wb+QBC+CATT_16_Dilution +TL_paper,0.7512766363904317,0.9381112886032542,0.8595502524438721,0.9977077250444977,0.9981722303231544,0.9979399712179604
